TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"

GOLDEN POMEGRANTE, The;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408422201;;DVD;;500,29;;Epic/Faith/Drama/historical;Golden Pomegranate, the ;Abulafia,Rinat / Alush,Aviv/ Anreder,Ellen / Atlas,Matti / Bayless,Joanna / Nini, Achinoam;Turgeman, Dan;;Full;;30;1;29,99;1,49;;;;2010;2/26/13;NN;;;;;Amaray;1;NTSC;Stereo;color;Widescreen;16x9;NA;English;no;YES;104 Minutes;;Yes;NN;;;;;;Munich, Defiance, Schinder's List, Fiddler on the Roof, The Pianist, Ben-Hur;http://www.privatecinema.info/#!the-golden-pomegrenate/c1nu1;"The Golden Pomegranate is a Jewish faith movie that shows the courage of oone woman in troubling times ; It is the untold story of the first Jewish pioneers ; based on a best-selling novel. Tells a real, historical, and very relevant story about modern Jersusalem, and it's immigrants: definitely appeals to Jews, but also to anyone who's never heard the story of Jersusalem. Isreal theatrical release: ran for 5 straight weeks in over 200 theatres, and received standing ovations everywhere it played.
Achinoam Noa - world famous Isreali singer.";"- 180 Theater in Israel at the end of November 2012. Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";Noa, a popular Israeli singer of Yemenite descent, prepares for a concert in Jerusalem. She is interrupted by an old Arab man who claims to have been a close friend her great grandmother. He tells her about Mazal, a Jewish child-bride from Yemen, who preserves her religion, culture, family and her unique art, surviving the harsh, violent conditions of Jerusalem and the Holy Land in the late 19th through the mid-20th centuries. She becomes the mother of two, a young widow, and the family's breadwinner through her skills as a jeweler in gold and silver. In time, a woman of property and an ardent patriot, she prevails through the unfolding bloody decades while living in the Old City of Jerusalem. She heads a family of extraordinary, unforgettable characters and grows old in strength and determination, remaining true to her traditions and ideals.;HD;5 M;Robert M. Bleiweiss;Robert M. Bleiweiss, Dan Turgeman;Isaac Sehayek;Ofer Inov;Amotz Plessner;Gershom Productions;PG13

MYSTIKAL;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422225;;DVD;;500,31;;Fantasy/Adventure;Mystikal;Iban, Garate/ Savitri, Ceballos/ Maite, Agirre/ Ramon, Agirre/ Kandido, Uranga/ Patxi, Santamaria;Angel, Alonso;;Full;;30;1;29,99;;;;;2012;3/12/13;NN;;;;;Amaray;1;NTSC;Stereo;color;Widescreen;16x9;NA;"Spanish (Catalan)

 ";YES;YES;90 Minutes;;YES;NN;;;;;;Harry Potter, The Hobbit, The Chronicles of Narnia, The Golden Compass, Peter Pan, Dragon Hunters, Little Nemo: Adventures in Slumberland, Beauty and the Beast, The Princess Bride;http://www.privatecinema.info/#!mystikal/c151j;"A fantasy film for the whole family, a big budget movie with monsters, fairies and magic, an exciting adventure that will thrill children and keep parents engaged with the viewing experience.
Theatrical Release in Spain, Germany, Japan, United States among many others";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. 
-Walmart is featuring the movie in the very front in a special cardboard shelves -First of it's kind: live-action with completely computer generated world -For the whole family, brimming with imagination -Similar to the Hobbit -available in Japanese as well & German -just working out a deal in France with Home Video -made in Europe: may qualify for releasing help in Europe, Asia, and South America from Europa Cinemas (http://www.europa-cinemas.org)";"Set in a fantasy-medieval context, Mystikal shows the adventure of Eldyn, an apprentice magician rather clumsy and innocent, in which he gets involved in troubles due of a ""small"" error. He must repair the damage done, with the help of Fira, a small nymph. On the way, they will meet some friends...and not so friends.";HD;7 M;Ricardo Ramon, Meso Mesonero, Sandro Garcia, Pedro Castillo;Joan Alvarez;Angel, Alonso;Mitxel Zuasti;Koldo Corella, Iosu Gonzalez;Dibulitoon Studio;PG

Discipline;USA AND CANADA;YES;FENIX PICTURES;0 609408 422232;;DVD;;500,32;;Horror/ Thriller;Discipline;Gains, Courtney/ Mark, Archuleta/ Paul Berret, Brown/ Campos, Eric / Celaigh,Caryn;Mayo, Martin;;Full;;30;1;24,99;;;;;2011;3/26/13;NN;;;;;Amaray;1;NTSC;Stereo;color;Widescreen;16x9;NA;English;no;no;103 Minutes;;Yes;NN;;;;;;Silence of the Lambs, Seven, Psycho;http://www.privatecinema.info/#!discipline-/c3x4;A thriller revolving around the concept of human screams, the initial concept predates many of the greatest thrillers, focusing on murder through a sort of sexual addiction, it's a unique concept revived after 20 years;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";A series of murders are confounding the local police with its residue of mutilated corpses. It begins when a sadistic cult murders willing victims for entertainment. Professor Lafitte, a rich sophisticated man, whose hobby is collecting souls, leads the cult. One of his students is Jack, brilliant and obsessed with composing avant-grade music. He decides to compose a concerto for synthesizer & samplers that is based on the recorded sound of human screams. Jack is drawn into the clutches of the professor, who is guiding him into a dark path of self discovery, in his attempt to create a new kind of music. In his quest for this new kind of music, he begins to seek out human pain. The professor leads Jack into his much more dangerous private activities. Jack's girlfriend Claudia and his best friend Benny are journalists for the collage newspaper and are covering a series of bizarre murders and mutilations that has the police stumped. Benny finally discovers that there is a connection between the murders, the professor and Jack, just as Jack and Professor Lafiette and his diabolical servants are threatening Claudia's lives. The final scene threatens not only Jack's creativity, but also his very life.;HD;1 M;Martin Mayo;Martin Mayo;Martin Mayo;Martin Mayo;Martin Mayo;Life On Mars Entertainment;R

Blissful Lies;USA AND CANADA;YES;Fenix Pictures;0 609408 422249;;DVD;;500,33;;Romance Suspense Thriller Drama;Blissful Lies;Hunley, Leann / Rose, Zach / Lonsdale Hands, Tiffany / Medina Galvan, Teri / Moody, Matt / Sliger, Kaitlin / Wall, Stacy / McKay, David / Land, Shane / Seals, Robert / Cassarino, Chris / Hartman, April / Allsup, Sarah Kate / Duvall, Zoe Jett;Brown-Thomas, Jennifer;;Full;;30;1;23,99;;;;;2012;4/9/13;NN;;;;;Amaray;1;NTSC;5.1 SS;Color;FULL SCREEN;16:09;NA;English;No;No;95 MINUTES;;Yes;NN;;;;;;Sleepless in Seattle, Diary of a Mad Black Woman, Love Actually, Prime, White Palace;http://www.privatecinema.info/#!blissful-lies/c1st6;"Based on the best-selling novel ""Blissful Lies"". Starring Leann Hunley from Days of Our Lives, A drama focused on the relationships between the characters, Reminiscent of a soap opera";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews, Social Media promotion, Facebook and Twitter, blissfullies.com, jenniferbrownthomas.com - interviews on website";Is about the close bond between 5 lifelong friends who are now of college age, who find the limits of their relationships are tested when secrets and lies begin to arise. There are multiple secrets between members which ultimately leave them all wondering if it is too much to move forward as the “family” they once were. In addition there is a forbidden love between two unlikely people. They have shared a close bond with one another since childhood. We see the bonds emerge as the characters develop and we as the audience can relate to how they feel about one another. In this dramatic film things are often not what they seem and although we’re able to connect with the characters in various ways, their actions are shocking.;HD;2 M;Carl Jackson;Jennifer Brown-Thomas;Godfrey Pye;Robert Tullier;Jeremy Doss, Siren Sea;Carl Jackson Entertainment;PG13

REGENERATOR ;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422256;;DVD;;500,34;;Sci-Fi, Action, Horror;REGENERATOR ;Gruner, Olivier / Phillips David / Logan, Paul/ Marisela;Gruner, Olivier/Shanavian, Patrick;;Full;;30;1;23,99;;;;;2013;4/23/13;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x9;NA;English;No;No;80 Minutes;;Yes;NN;;;;;;Predator, The Terminator, Crank;http://www.privatecinema.info/#!regenerator/c209o;"A sci-fi thriller/horror in the same vein as The Predator and The Terminator, Olivier Gruner as a villain, Reminiscent of fan-favorite action movies.
-Walmart is featuring this movie in the very front, in the special cardboard shelves
 -in the vein of Terminator
Sold in Japan, US, Germany and many others";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";A plane containing a high classified government project crashes outside a small town in USA. Realizing the level of danger the government is trying to secretly fix the problem. As tension grows the situation gets out of control and civilians from the town are facing their worst nightmare.;HD & 4K;5 M;Razmik Baghumyan;Olivier Gruner;Mark Grove, Martin Mayo;John Firestone, Patrick Shanavian;Martin Mayo, Robert Tarango;One Night Production;PG13

Transmigration;USA AND CANADA;YES;FENIX PICTURES;0 609408 422263;;DVD;;500,35;;Fantasy, Psychological Thriller, Erotic, Art;Transmigration;Treglia, Andrew / Sant'ana, Fernanda Nice / Anarcos, Pericles / Araújo, Giovanni / Matosso, Antonio Caio;Schiffer, Sheldon;;Full;;30;1;19,98;;;;;2012;5/14/13;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16:09;NA;English/Portuguese;No;Yes;96 minutes;;Yes;NN;;;;;;The Fountain (2007), Inception (2010), The Naked Prey (1966), The Most Dangerous Game (1932), The Sorcerer (1977), Wages of Fear (1955), Run for the Sun (1956);http://www.privatecinema.info/#!transmigration/c1m08;1) Lush authentic Amazonic wilderness fantasy becomes a survivalist nightmare in the jungle with cannibal women. 2) Watch the human species return to more primitive impulses in the wilderness of the jungle and the pre-modern mind. 3) Psychological fantasy film provides a perfect to escape into a cinematic acid trip. 4) Indulge in the music of Emmy Award winner, Daniel Figueiredo;"1) Winner of Best Latin American Film at the Costa Rica International Film Festival, 2) Winner of Best Director at the Atlanta Underground Film Festival, 3) Screened in Festivals in Vancouver and Brazil, 4) Featuring the music of Brazilian film composer and Emmy Award Winner Daniel Figueiredo.
 
 -Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";Curtis (Andrew Treglia), an American looking for an escape to a foreign land, joins his estranged Brazilian biologist brother Francis (Giovanni Araújo) on a spontaneous journey to find a rare jungle beetle in the Amazon. While hiking, Curtis is bitten by a snake. As he enters a venom induced hallucinogenic dream the two brothers are captured as slaves by a fantasy tribe of Amazonian women, and given to the tribal queen (Fernanda Sant'ana). With the aid of another slave (Pericles Anarcos), Curtis must plot a rescue of Francis and their escape, unless he finds his new situation better than the life he left behind.;HD;1 M;Francisco Das Chagas, Leandro Caires, Sheldon Schiffer;Sheldon Elias Schiffer;Sheldon Schiffer;Christian Lockerman;Daniel Figueiredo & Caximir;Mysterious Pictures;PG13

LITTLE THINGS, the;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422270;;DVD;;500,36;;"Comedy, Romance
Relationship , Drama";LITTLE THINGS, the;Beck, Kathryn/ Hillier, Chris/ Lambert-Barker, Marea/ Boyle, Tim.;McGregor, Neil;;Full;;30;1;24,98;;;;;2011;5/28/13;NN;;;;;Amaray;1;NTSC;Surrond 5.1;Color;Widescreen;16:09;NA;Yes;No;No;86min;;Yes;NN;;;;;;Any Questions For Ben?, All My Friends Are Leaving Brisbane;http://www.privatecinema.info/#!litle-things/c1t4p;"Winner Best Film Maryland International Film Festival, Winner Best Film Alaska International Film Awards, Winner Best Film The Indie Fest
-Marea Lamber Barker (Nim's Island)
 -Kathryn Beck, Chris Hillier
15 film festival awards!
-once you see it, it's no surprise that it's been so successful at film festivals; watch a little and you'll understand. -Filmed in Australia -Directed by Niel McGregor";"-Create media kit for movie -have cast/crew do radio interviews -Send 
 out early release copies to major publications like LA Times, LA Weekly,
 etc to get reviews of movies published -Will book cast/crew for shows 
 like ""Good Day LA"" for live interviews
 Official FaceBook Page (https://www.facebook.com/thelittlethingsfanpage)";"THE LITTLE THINGS is an indie rom-com with a supernatural twist. It tells the story of Dee (Kathryn Beck), a woman who believes she has the gift to alter peoples destinies... provided she never leaves her home. 
 
 However, when her powers are threatened by the possibility of eviction, her only hope is Mitch (Chris Hillier). Her first love and the first life she affected with her special gift, but he may not be so willing to help, when he finds out his entire life has been manipulated.";HD and 4K;3 M;Neil McGregor;Jon Henricks, Neil McGregor;Chris Karageorgiou;Graeme McMahon;JUSTIN HARRISON;Enjoy Productions;PG13

21 Brothers;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422287;;DVD;;500,37;;History / War / Drama ;21 Brothers;Treglia, Andrew / Sant'ana, Fernanda Nice / Anarcos, Pericles / Araújo, Giovanni / Matosso, Antonio Caio;McGuire,Michael;;Full;;30;1;19,98;;;;;2011;6/11/13;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16:09:00;NA;English;No;No;98 minutes;;Yes;NN;;;;;;Paths of Glory , The Lost Battalion, Once an Eagle, The Fighting 69th;http://www.privatecinema.info/#!21-brothers/c1o6t;21 brother's a war movie about the soldier and the relationships they made during World War 1. A movie similar to Saving Private Ryan. It has been accepted into and going to the Buffalo Film Festival and the Free Thinking Film Festival. 90 percent of all people on rotten tomatoes want to see this movie when released. It has won the guinness world record for longest one shot film.;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";21 Brothers tells the story of the Canadians 21st Battalion as they prepare for the battle of Courcelette in WWI. Taking place in real time, the film follows Sgt. Reid as he must get his men ready for the impending battle. Not only must he prep his battalion Sgt. Reid must also deal with the day to day difficulties of life in the trenches, including injuries to his men, supply issues, and an underage recruit who has recently been sent into the front lines.;HD;4M;Michael McGuire;Clayton Garrett;Michael McGuire;Clint Tippin;Brent Holland;21 Brothers Production;PG13

Louise's Diary 1942;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422300;;DVD;;500,38;;War/Romance/ Cultural/ Histoy/ Art House;Louise's Diary 1942;Barboza, Gregory/Durand, Deborah/Anemone/Bohringer, Richard;Philezon, Franck;;Full;;30;1;19,98 US$;;;;;2010;7/9/13;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16:09;NA;French;No;YES;85min;;Yes;NN;;;;;;Anne Frank: The Whole Story, Sophie's Choice, The Pianist;http://www.privatecinema.info/#!louises-diary-1942/cey0;"Stars well known French actress Anémone and award winning actor Richard Bohringer.

-Anemone and Richard Bohringer: last film they did together it was Oscar-award winning

-available in French
 -Distributed by Sony Pictures in France
 -had a theatrical release of over 120 theatres";Eighty Screens Theatrical release . Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows;Based on a true story, Louise’s Diary 1942 is a dramatic tale of a forbidden love in a time of war. Told through the eyes of an elderly man reading a diary from the German Occupation of France in 1942, Louise’s Diary 1942 is the story of Louise, a young Jewish woman who had her identity changed with the help of Hans, a young SS Officer who rejects the Nazi ideology. The two lovers remain at Huguette’s, a young Cabaret singer. But they can’t escape the animosity of war forever.;HD;5 M;Julian Hicks, Alexandre Piot;Sandrine Gauvin, Franck Phelizon;Luc Barnier;Raphael Pannier;Fabien Levy, Martin Nachon, Nicolas Peyrac;UPL Media Group;PG13

Legend Has It;USA AND CANADA;YES;FENIX PICTURES;0 609408 422317;;DVD;;500,39;;Horror/Thriller/Suspense;Legend Has It;Oeltze, Todd/Fazakerly, Julia/Finn, Heath/Ward, Amanda/Cohn, Jared/Perkins, Theodore/Wigand, Andreas/Berkin, Teresa;Nikoff, Max;;Full;;30;1;19,98 US$;;;;;2009;7/23/13;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16:09;NA;English;No;No;95min;;Yes;NN;;;;;;Blair Witch Project, Texas Chainsaw Massacre, Poltergeist;http://www.privatecinema.info/#!legend-has-it/cdwc;M Blair With Project meets Texas Chainsaw Massacre!;Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows.;When a group of young filmmakers set out to create a documentary about the brutally horrific “hutchins murders”, they discover why some legend are better left alone.;HD;1 M;Max Nikoff;Jared Cohn;James Scott;Max Nikoff;Max Nikoff;Hollywood Midnight;R

